,FEASABILITY,IMPACT,NOVELTY
0,3,3,3
1,2,3,2
2,3,3,3
3,3,3,3
4,3,3,3
5,3,3,3
6,3,3,2
7,3,3,3
8,3,3,3
9,2,2,2
10,3,3,3
11,3,3,3
12,3,3,3
13,3,3,3
14,3,3,2
15,3,3,3
16,3,3,3
17,3,3,3
18,3,3,3
19,3,3,3
20,3,3,2
21,2,2,3
22,3,3,3
23,3,3,2
24,3,3,3
25,2,1,2
26,2,3,2
27,3,3,2
28,3,3,3
29,2,3,2
30,3,3,3
31,3,3,3
32,3,3,3
33,3,3,2
34,2,3,2
35,2,2,2
36,3,3,3
37,3,3,3
38,1,1,1
39,3,3,3
40,3,3,3
41,3,3,2
42,3,3,3
43,3,3,3
44,3,3,3
45,3,3,3
46,2,3,3
47,2,3,3
48,1,1,1
49,3,2,3
50,3,3,3
51,3,3,3
52,3,2,3
53,3,3,3
54,3,3,3
55,3,3,3
56,3,3,3
57,2,3,3
58,3,3,3
59,3,3,3
60,3,3,3
61,3,2,3
62,2,2,2
63,3,3,3
64,3,3,3
65,3,3,3
66,3,3,3
67,3,3,3
68,3,3,3
69,2,3,2
70,2,3,2
71,1,1,1
72,3,3,3
73,3,3,2
74,2,3,2
75,3,3,3
76,3,3,2
77,3,3,3
78,3,3,3
79,3,3,3
80,2,3,3
81,2,3,3
82,3,3,3
83,3,3,3
84,3,3,2
85,2,2,1
86,2,3,2
87,3,3,3
88,3,3,3
89,3,3,3
90,3,3,3
91,3,3,2
92,3,3,3
93,3,3,2
94,3,3,2
95,3,3,3
96,3,3,3
97,3,3,2
98,3,3,2
99,2,3,2
100,3,3,3
101,2,3,2
102,3,3,3
103,3,3,3
104,1,2,1
105,3,3,3
106,3,3,3
107,3,3,3
108,2,3,3
109,2,3,3
110,3,3,2
111,3,3,3
112,3,3,3
113,3,3,3
114,3,3,3
115,2,3,3
116,3,2,2
117,3,3,3
118,3,3,3
119,2,3,3
120,3,3,3
121,3,3,2
122,3,2,1
123,3,3,3
124,3,3,2
125,3,3,3
126,3,3,3
127,3,3,3
128,3,3,2
129,3,3,3
130,3,3,2
131,2,3,2
132,3,3,3
133,3,3,3
134,3,3,2
135,3,3,3
136,3,3,3
137,3,3,3
138,2,3,2
139,3,3,3
140,3,2,3
141,3,3,2
142,3,3,3
143,3,3,2
144,3,3,2
145,3,3,3
146,3,3,3
147,3,3,3
148,3,3,3
149,2,3,3
150,2,3,3
151,3,3,3
152,3,3,3
153,1,1,1
154,3,3,3
155,3,3,3
156,3,3,3
157,2,3,3
158,3,3,2
159,3,3,2
160,3,3,2
161,2,2,2
162,3,2,3
163,3,3,3
164,2,2,3
165,1,2,2
166,3,3,3
167,1,1,1
168,3,3,3
169,3,3,2
170,2,3,3
171,3,3,2
172,3,3,3
173,3,3,3
174,1,2,2
175,3,2,2
176,3,3,3
177,3,3,3
178,3,3,3
179,3,3,3
180,3,3,2
181,3,3,3
182,3,3,3
183,2,3,2
184,3,3,2
185,1,2,2
186,2,2,2
187,3,3,3
188,2,2,3
189,3,2,3
190,3,3,3
191,2,3,2
192,2,2,3
193,3,3,3
194,3,3,3
195,2,3,1
196,3,3,3
197,3,3,3
198,3,3,2
199,3,3,2
200,3,2,3
201,3,3,3
202,2,3,2
203,3,3,3
204,3,3,2
205,3,3,3
206,3,3,3
207,3,3,3
208,3,3,3
209,3,3,3
210,2,1,2
211,3,3,3
212,3,3,3
213,3,3,3
214,3,3,2
215,3,3,3
216,2,3,2
217,3,3,2
218,2,3,2
219,2,3,3
220,3,3,3
221,1,1,2
222,2,3,3
223,3,3,2
224,2,3,2
225,3,3,3
226,3,3,3
227,1,2,3
228,3,3,2
229,3,3,3
230,3,3,3
231,3,3,2
232,2,3,3
233,3,3,2
234,3,3,3
